Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm
319,Ludovic Blas,fr FRA,"MF,FW",Rennes,fr Ligue 1,28.0,1997,30,13,1403,15.6,5,4,9,3,2,2,1,0,0.45,42,13,31.0,2.69,0.83,0.07,0.23,2,2,85,9,13,26,1,0,0,22,0,,,,,,,,,,,,,,
320,Janis Blaswich,de GER,GK,Leverkusen,de Bundesliga,35.0,1991,11,10,931,10.3,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,1,0,0,0,0,9,0.87,50,41,82.0,5,4,1,3,30.0,0,0,0,0
321,Daley Blind,nl NED,DF,Girona,es La Liga,36.0,1990,31,30,2606,29.0,0,0,0,0,0,0,1,0,0.00,5,1,20.0,0.17,0.03,0.00,0.00,0,0,13,34,38,20,1,0,0,19,0,,,,,,,,,,,,,,
322,Adam Boayar,ma MAR,MF,Elche,es La Liga,20.0,2005,7,0,104,1.2,1,0,1,1,0,0,0,0,0.87,5,2,40.0,4.33,1.73,0.20,0.50,0,0,2,2,1,1,0,0,0,0,0,,,,,,,,,,,,,,
323,Oscar Bobb,no NOR,"MF,FW",Manchester City,eng Premier League,22.0,2003,9,5,468,5.2,0,1,1,0,0,0,1,0,0.19,4,0,0.0,0.77,0.00,0.00,,0,0,5,5,3,9,1,0,0,5,0,,,,,,,,,,,,,,
324,Oscar Bobb,no NOR,MF,Fulham,eng Premier League,22.0,2003,11,4,393,4.4,0,0,0,0,0,0,0,0,0.00,6,3,50.0,1.37,0.69,0.00,0.00,0,0,4,5,4,5,0,0,0,4,0,,,,,,,,,,,,,,
325,Ben Bobzien,de GER,"FW,MF",Mainz 05,de Bundesliga,23.0,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,
326,Arnaud Bodart,be BEL,GK,Lille,fr Ligue 1,28.0,1998,3,2,226,2.5,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,1,0,3,1.19,6,4,66.7,0,0,2,0,0.0,1,1,0,0
327,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,25.0,2000,9,5,463,5.1,0,0,0,0,0,0,1,0,0.00,6,0,0.0,1.17,0.00,0.00,,0,0,6,4,7,8,1,0,0,10,0,,,,,,,,,,,,,,
328,Jeremie Boga,ci CIV,"MF,FW",Nice,fr Ligue 1,29.0,1997,14,7,646,7.2,2,2,4,2,0,0,0,0,0.56,15,5,33.3,2.09,0.70,0.13,0.40,0,0,12,5,3,11,0,0,0,2,0,,,,,,,,,,,,,,
329,Jeremie Boga,ci CIV,"MF,FW",Juventus,it Serie A,29.0,1997,12,5,549,6.1,4,0,4,4,0,0,1,0,0.66,19,9,47.4,3.11,1.48,0.21,0.44,0,0,26,3,2,5,1,0,0,3,0,,,,,,,,,,,,,,
330,Lamare Bogarde,nl NED,"MF,DF",Aston Villa,eng Premier League,22.0,2004,26,10,970,10.8,0,0,0,0,0,0,5,0,0.00,0,0,,0.00,0.00,,,0,0,2,18,3,18,5,0,0,17,0,,,,,,,,,,,,,,
331,Jayden Bogle,eng ENG,"MF,DF",Leeds United,eng Premier League,25.0,2000,33,31,2716,30.2,1,2,3,1,0,0,6,0,0.10,17,4,23.5,0.56,0.13,0.06,0.25,0,0,64,40,29,28,6,0,0,38,0,,,,,,,,,,,,,,
332,Dmytro Bohdanov,ua UKR,MF,Union Berlin,de Bundesliga,19.0,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
333,Adama Boiro,es ESP,DF,Athletic Club,es La Liga,23.0,2002,12,6,635,7.1,0,0,0,0,0,0,1,0,0.00,1,0,0.0,0.14,0.00,0.00,,0,0,17,8,15,8,1,0,0,4,0,,,,,,,,,,,,,,
334,Morgan Bokelé Mputu,cm CMR,MF,Metz,fr Ligue 1,22.0,2004,10,1,227,2.5,0,0,0,0,0,0,0,0,0.00,3,1,33.3,1.19,0.40,0.00,0.00,0,0,5,4,1,8,0,0,0,2,0,,,,,,,,,,,,,,
335,Hugo Bolin,se SWE,"MF,FW",Gladbach,de Bundesliga,22.0,2003,11,4,451,5.0,0,1,1,0,0,0,0,0,0.20,11,2,18.2,2.20,0.40,0.00,0.00,0,0,15,1,1,10,0,0,0,2,0,,,,,,,,,,,,,,
336,Daniel Boloca,ro ROU,MF,Sassuolo,it Serie A,27.0,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,2,0,0.0,1.33,0.00,0.00,,0,0,1,2,2,1,0,0,0,0,0,,,,,,,,,,,,,,
337,Moïse Bombito,ca CAN,DF,Nice,fr Ligue 1,26.0,2000,2,2,145,1.6,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,2,1,1,0,0,3,0,,,,,,,,,,,,,,
338,Javier Boñar,es ESP,DF,Atlético Madrid,es La Liga,20.0,2005,3,3,269,3.0,1,0,1,1,0,0,0,0,0.33,2,1,50.0,0.67,0.33,0.50,1.00,0,0,3,3,0,1,0,0,0,2,0,,,,,,,,,,,,,,
339,Federico Bonazzoli,it ITA,FW,Cremonese,it Serie A,28.0,1997,32,28,2277,25.3,8,1,9,6,2,2,3,0,0.28,70,28,40.0,2.77,1.11,0.09,0.21,2,2,25,13,10,72,3,0,0,25,0,,,,,,,,,,,,,,
340,Warren Bondo,fr FRA,MF,Cremonese,it Serie A,22.0,2003,27,22,1762,19.6,0,0,0,0,0,0,5,0,0.00,8,2,25.0,0.41,0.10,0.00,0.00,0,0,3,16,9,33,5,0,0,39,0,,,,,,,,,,,,,,
341,Giovanni Bonfanti,it ITA,"DF,MF",Pisa,it Serie A,23.0,2003,9,6,494,5.5,0,0,0,0,0,0,1,0,0.00,6,1,16.7,1.09,0.18,0.00,0.00,0,0,12,6,7,3,1,0,0,10,0,,,,,,,,,,,,,,
342,Victor Boniface,ng NGA,FW,Werder Bremen,de Bundesliga,25.0,2000,11,2,333,3.7,0,2,2,0,0,0,1,0,0.54,16,6,37.5,4.32,1.62,0.00,0.00,0,0,2,1,0,6,1,0,0,1,0,,,,,,,,,,,,,,
343,Rahim Bonkano,ne NIG,DF,Oviedo,es La Liga,24.0,2002,24,16,1513,16.8,0,0,0,0,0,0,2,0,0.00,2,0,0.0,0.12,0.00,0.00,,0,0,61,17,23,6,2,0,0,9,0,,,,,,,,,,,,,,
344,Ange-Yoan Bonny,fr FRA,FW,Inter,it Serie A,22.0,2003,30,9,997,11.1,5,3,8,5,0,0,1,0,0.72,21,9,42.9,1.90,0.81,0.24,0.56,0,0,4,9,1,20,1,0,0,16,0,,,,,,,,,,,,,,
345,Thiago Borbas,uy URU,FW,Oviedo,es La Liga,24.0,2002,9,0,132,1.5,0,0,0,0,0,0,1,0,0.00,4,1,25.0,2.73,0.68,0.00,0.00,0,0,0,0,0,2,1,0,0,5,0,,,,,,,,,,,,,,
346,Sebastiaan Bornauw,be BEL,DF,Leeds United,eng Premier League,27.0,1999,9,4,304,3.4,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,1,2,5,0,1,0,0,5,0,,,,,,,,,,,,,,
347,Gennaro Borrelli,it ITA,FW,Cagliari,it Serie A,26.0,2000,26,12,1202,13.4,4,1,5,4,0,0,4,0,0.37,25,8,32.0,1.87,0.60,0.16,0.50,0,0,2,6,3,47,4,0,0,43,0,,,,,,,,,,,,,,
348,Olivier Boscagli,fr FRA,DF,Brighton,eng Premier League,28.0,1997,12,9,802,8.9,0,1,1,0,0,0,2,0,0.11,1,0,0.0,0.11,0.00,0.00,,0,0,15,11,16,10,2,0,0,7,0,,,,,,,,,,,,,,
349,Sebastián Boselli,uy URU,DF,Getafe,es La Liga,22.0,2003,10,4,360,4.0,0,0,0,0,0,0,3,0,0.00,3,1,33.3,0.75,0.25,0.00,0.00,0,0,8,12,0,0,3,0,0,5,0,,,,,,,,,,,,,,
350,Sven Botman,nl NED,DF,Newcastle United,eng Premier League,26.0,2000,22,18,1565,17.4,1,1,2,1,0,0,2,0,0.12,14,4,28.6,0.81,0.23,0.07,0.25,0,0,2,12,19,14,2,0,0,11,1,,,,,,,,,,,,,,
351,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,18.0,2007,28,26,2186,24.3,0,1,1,0,0,0,6,1,0.04,15,4,26.7,0.62,0.16,0.00,0.00,0,0,16,37,25,23,6,1,0,36,0,,,,,,,,,,,,,,
352,Badredine Bouanani,dz ALG,MF,Nice,fr Ligue 1,21.0,2004,2,1,93,1.0,0,0,0,0,0,0,0,0,0.00,1,0,0.0,0.97,0.00,0.00,,0,0,5,0,1,2,0,0,0,0,0,,,,,,,,,,,,,,
353,Badredine Bouanani,dz ALG,MF,Stuttgart,de Bundesliga,21.0,2004,14,5,463,5.1,0,0,0,0,0,0,1,0,0.00,16,4,25.0,3.11,0.78,0.00,0.00,0,0,26,3,4,6,1,0,0,1,0,,,,,,,,,,,,,,
354,Kaïl Boudache,fr FRA,"MF,FW",Nice,fr Ligue 1,19.0,2006,12,2,486,5.4,1,0,1,1,0,0,1,0,0.19,11,2,18.2,2.04,0.37,0.09,0.50,0,0,7,9,6,4,1,0,0,5,0,,,,,,,,,,,,,,
355,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,26.0,1999,23,17,1559,17.3,1,2,3,1,0,0,5,0,0.17,19,8,42.1,1.10,0.46,0.05,0.13,0,0,18,14,18,35,5,0,0,17,0,,,,,,,,,,,,,,
356,Sofiane Boufal,ma MAR,"FW,MF",Le Havre,fr Ligue 1,32.0,1993,15,11,864,9.6,1,3,4,1,0,0,1,0,0.42,14,3,21.4,1.46,0.31,0.07,0.33,0,0,54,10,3,28,1,0,0,20,0,,,,,,,,,,,,,,
357,Justin Bourgault,fr FRA,FW,Brest,fr Ligue 1,20.0,2005,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,1,0,0.0,5.63,0.00,0.00,,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
358,Jarrod Bowen,eng ENG,"MF,FW",West Ham United,eng Premier League,29.0,1996,35,35,3133,34.8,8,10,18,7,1,1,4,0,0.49,74,25,33.8,2.13,0.72,0.09,0.28,1,1,134,26,27,46,4,0,0,19,0,,,,,,,,,,,,,,
359,Kieron Bowie,sct SCO,FW,Hellas Verona,it Serie A,23.0,2002,11,11,930,10.3,3,0,3,3,0,0,1,0,0.29,23,8,34.8,2.23,0.77,0.13,0.38,0,0,6,2,0,17,1,0,0,27,0,,,,,,,,,,,,,,
360,Lucas Boyé,ar ARG,FW,Alavés,es La Liga,30.0,1996,27,21,1866,20.7,11,1,12,8,3,3,4,1,0.43,59,20,33.9,2.85,0.96,0.14,0.40,3,3,10,24,7,36,4,1,1,55,0,,,,,,,,,,,,,,
361,Enzo Boyomo,cm CMR,DF,Osasuna,es La Liga,24.0,2001,27,26,2272,25.2,1,1,2,1,0,0,5,0,0.08,8,3,37.5,0.32,0.12,0.13,0.33,0,0,9,33,14,5,5,0,0,26,0,,,,,,,,,,,,,,
362,Rosen Bozhinov,bg BUL,DF,Pisa,it Serie A,21.0,2005,7,6,498,5.5,0,0,0,0,0,0,1,0,0.00,2,1,50.0,0.36,0.18,0.00,0.00,0,0,3,4,11,1,1,0,0,10,0,,,,,,,,,,,,,,
363,Domagoj Bradarić,hr CRO,MF,Hellas Verona,it Serie A,26.0,1999,27,23,1938,21.5,0,1,1,0,0,0,2,0,0.05,12,6,50.0,0.56,0.28,0.00,0.00,0,0,100,20,9,10,2,0,0,8,0,,,,,,,,,,,,,,
364,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,22.0,2003,15,12,929,10.3,0,1,1,0,0,0,5,0,0.10,6,0,0.0,0.58,0.00,0.00,,0,0,23,15,12,20,5,0,0,18,0,,,,,,,,,,,,,,
365,Bilal Brahimi,dz ALG,"FW,MF",Nice,fr Ligue 1,26.0,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
366,Julian Brandt,de GER,"MF,FW",Dortmund,de Bundesliga,30.0,1996,28,17,1584,17.6,7,4,11,7,0,0,0,0,0.62,38,18,47.4,2.16,1.02,0.18,0.39,0,0,24,7,5,5,0,0,0,8,0,,,,,,,,,,,,,,
367,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,23.0,2002,10,7,680,7.6,1,0,1,1,0,0,1,0,0.13,6,2,33.3,0.79,0.26,0.17,0.50,0,0,3,6,11,1,1,0,0,3,0,,,,,,,,,,,,,,
368,Riccardo Braschi,it ITA,FW,Fiorentina,it Serie A,19.0,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,1,0,0.0,2.00,0.00,0.00,,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
369,Lilian Brassier,fr FRA,DF,Rennes,fr Ligue 1,26.0,1999,27,25,2250,25.0,0,1,1,0,0,0,2,0,0.04,11,2,18.2,0.44,0.08,0.00,0.00,0,0,23,13,38,21,2,0,0,27,0,,,,,,,,,,,,,,
370,Iker Bravo,es ESP,FW,Udinese,it Serie A,21.0,2005,8,3,206,2.3,1,0,1,1,0,0,1,0,0.44,4,1,25.0,1.75,0.44,0.25,1.00,0,0,4,1,0,1,1,0,0,3,0,,,,,,,,,,,,,,
371,Josip Brekalo,hr CRO,"MF,FW",Oviedo,es La Liga,27.0,1998,14,6,486,5.4,0,0,0,0,0,0,1,0,0.00,9,3,33.3,1.67,0.56,0.00,0.00,0,0,26,7,2,6,1,0,0,7,0,,,,,,,,,,,,,,
372,Gleison Bremer,br BRA,DF,Juventus,it Serie A,29.0,1997,24,23,1991,22.1,4,3,7,4,0,0,4,0,0.32,19,8,42.1,0.86,0.36,0.21,0.50,0,0,1,11,27,10,4,0,0,18,0,,,,,,,,,,,,,,
373,Marco Brescianini,it ITA,MF,Fiorentina,it Serie A,26.0,2000,14,8,714,7.9,1,0,1,1,0,0,1,0,0.13,10,2,20.0,1.26,0.25,0.10,0.50,0,0,11,2,1,8,1,0,0,11,0,,,,,,,,,,,,,,
374,Marco Brescianini,it ITA,MF,Atalanta,it Serie A,26.0,2000,9,0,182,2.0,1,0,1,1,0,0,1,0,0.49,3,2,66.7,1.48,0.99,0.33,0.50,0,0,6,8,2,2,1,0,0,4,0,,,,,,,,,,,,,,
375,Abel Bretones,es ESP,"MF,DF",Osasuna,es La Liga,25.0,2000,26,16,1527,17.0,1,2,3,1,0,0,5,1,0.18,11,3,27.3,0.65,0.18,0.09,0.33,0,0,26,12,15,18,5,1,0,16,0,,,,,,,,,,,,,,
376,Sascha Britschgi,ch SUI,"MF,DF",Parma,it Serie A,19.0,2006,27,21,2008,22.3,0,2,2,0,0,0,4,0,0.09,13,3,23.1,0.58,0.13,0.00,0.00,0,0,47,18,8,22,4,0,0,15,0,,,,,,,,,,,,,,
377,Brian Brobbey,nl NED,FW,Sunderland,eng Premier League,24.0,2002,28,19,1701,18.9,6,1,7,6,0,0,6,0,0.37,28,14,50.0,1.48,0.74,0.21,0.43,0,0,2,2,0,33,6,0,0,27,0,,,,,,,,,,,,,,
378,Marius Broholm,no NOR,MF,Lille,fr Ligue 1,21.0,2004,11,3,279,3.1,1,1,2,0,1,1,0,0,0.32,4,3,75.0,1.29,0.97,0.00,0.00,1,1,14,6,2,8,0,0,0,4,0,,,,,,,,,,,,,,
379,Armando Broja,al ALB,FW,Burnley,eng Premier League,24.0,2001,24,8,860,9.6,1,1,2,1,0,0,0,0,0.21,16,6,37.5,1.67,0.63,0.06,0.17,0,0,3,3,3,16,0,0,0,14,0,,,,,,,,,,,,,,
380,David Brooks,wls WAL,MF,Bournemouth,eng Premier League,28.0,1997,29,13,1185,13.2,1,3,4,1,0,0,7,0,0.30,46,12,26.1,3.49,0.91,0.02,0.08,0,0,59,11,4,13,7,0,0,11,0,,,,,,,,,,,,,,
381,Nathaniel Brown,de GER,"MF,DF",Eintracht Frankfurt,de Bundesliga,22.0,2003,32,28,2566,28.5,4,4,8,4,0,0,3,0,0.28,17,9,52.9,0.60,0.32,0.24,0.44,0,0,44,55,25,32,3,0,0,27,0,,,,,,,,,,,,,,
382,Brugui,es ESP,"MF,FW",Levante,es La Liga,29.0,1996,17,10,955,10.6,0,1,1,0,0,0,1,0,0.09,23,7,30.4,2.17,0.66,0.00,0.00,0,0,11,5,4,8,1,0,0,11,0,,,,,,,,,,,,,,
383,Paris Brunner,de GER,FW,Monaco,fr Ligue 1,20.0,2006,6,1,117,1.3,0,0,0,0,0,0,1,0,0.00,2,0,0.0,1.54,0.00,0.00,,0,0,1,2,1,1,1,0,0,8,0,,,,,,,,,,,,,,
384,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,eng Premier League,27.0,1998,25,10,1011,11.2,0,1,1,0,0,0,0,0,0.09,16,4,25.0,1.42,0.36,0.00,0.00,0,0,40,3,6,0,0,0,0,1,0,,,,,,,,,,,,,,
385,Tajon Buchanan,ca CAN,MF,Villarreal,es La Liga,27.0,1999,31,19,1673,18.6,7,1,8,7,0,0,8,0,0.43,26,11,42.3,1.40,0.59,0.27,0.64,0,0,29,18,22,34,8,0,0,17,0,,,,,,,,,,,,,,
386,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,34.0,1991,34,32,2668,29.6,17,0,17,11,6,8,2,0,0.37,88,37,42.0,2.97,1.25,0.13,0.30,6,8,4,16,6,35,2,0,0,44,0,,,,,,,,,,,,,,
387,Emi Buendía,ar ARG,MF,Aston Villa,eng Premier League,29.0,1996,33,19,1564,17.4,6,2,8,6,0,0,6,0,0.46,45,11,24.4,2.59,0.63,0.13,0.55,0,0,9,21,9,37,6,0,0,37,0,,,,,,,,,,,,,,
388,Hugo Bueno,es ESP,"MF,DF",Wolves,eng Premier League,23.0,2002,32,25,2298,25.5,1,2,3,1,0,0,3,0,0.12,15,6,40.0,0.59,0.23,0.07,0.17,0,0,164,35,33,24,3,0,0,17,0,,,,,,,,,,,,,,
389,Manu Bueno,es ESP,MF,Sevilla,es La Liga,21.0,2004,8,2,272,3.0,0,0,0,0,0,0,2,0,0.00,2,0,0.0,0.66,0.00,0.00,,0,0,2,1,0,3,2,0,0,4,0,,,,,,,,,,,,,,
390,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,27.0,1998,26,25,2283,25.4,3,1,4,3,0,0,4,0,0.16,9,6,66.7,0.35,0.24,0.33,0.50,0,0,5,30,22,11,4,0,0,24,0,,,,,,,,,,,,,,
391,Louis Buffon,cz CZE,FW,Pisa,it Serie A,18.0,2007,4,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,
392,Adam Buksa,pl POL,FW,Udinese,it Serie A,29.0,1996,22,4,736,8.2,2,0,2,2,0,0,2,0,0.24,11,5,45.5,1.35,0.61,0.18,0.40,0,0,1,8,3,15,2,0,0,18,0,,,,,,,,,,,,,,
393,Andrija Bulatović,me MNE,MF,Lens,fr Ligue 1,19.0,2006,17,5,666,7.4,0,3,3,0,0,0,2,0,0.41,10,5,50.0,1.35,0.68,0.00,0.00,0,0,50,17,7,20,2,0,0,16,0,,,,,,,,,,,,,,
394,Marius Bülter,de GER,"FW,MF",Köln,de Bundesliga,33.0,1993,30,16,1427,15.9,4,4,8,4,0,0,3,0,0.50,36,14,38.9,2.27,0.88,0.11,0.29,0,0,60,3,6,24,3,0,0,15,0,,,,,,,,,,,,,,
395,Facundo Buonanotte,ar ARG,MF,Leeds United,eng Premier League,21.0,2004,2,0,26,0.3,0,0,0,0,0,0,1,0,0.00,1,0,0.0,3.46,0.00,0.00,,0,0,0,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,
396,Facundo Buonanotte,ar ARG,MF,Chelsea,eng Premier League,21.0,2004,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
397,Alessandro Buongiorno,it ITA,DF,Napoli,it Serie A,26.0,1999,31,26,2373,26.4,0,1,1,0,0,0,3,0,0.04,8,3,37.5,0.30,0.11,0.00,0.00,0,0,6,22,40,26,3,0,0,47,0,,,,,,,,,,,,,,
398,Livan Burcu,tr TUR,"MF,FW",Union Berlin,de Bundesliga,21.0,2004,16,4,523,5.8,1,0,1,1,0,0,4,0,0.17,13,2,15.4,2.24,0.34,0.08,0.50,0,0,15,7,2,9,4,0,0,5,0,,,,,,,,,,,,,,
399,Jan Bürger,de GER,"MF,DF",Wolfsburg,de Bundesliga,19.0,2007,7,2,247,2.7,0,0,0,0,0,0,0,0,0.00,2,1,50.0,0.73,0.36,0.00,0.00,0,0,6,3,0,5,0,0,0,4,0,,,,,,,,,,,,,,
400,Wouter Burger,nl NED,MF,Hoffenheim,de Bundesliga,25.0,2001,28,28,2250,25.0,4,5,9,4,0,0,7,1,0.36,32,13,40.6,1.28,0.52,0.13,0.31,0,0,77,40,17,9,7,1,0,55,0,,,,,,,,,,,,,,
401,Jonathan Burkardt,de GER,FW,Eintracht Frankfurt,de Bundesliga,25.0,2000,21,15,1305,14.5,11,1,12,9,2,2,1,0,0.69,38,19,50.0,2.62,1.31,0.24,0.47,2,2,4,4,1,14,1,0,0,12,0,,,,,,,,,,,,,,
402,Oliver Burke,sct SCO,"FW,MF",Union Berlin,de Bundesliga,29.0,1997,27,19,1492,16.6,5,1,6,5,0,0,3,0,0.36,32,13,40.6,1.93,0.78,0.16,0.38,0,0,31,5,4,8,3,0,0,10,0,,,,,,,,,,,,,,
403,Vincent Burlet,be BEL,DF,Lille,fr Ligue 1,20.0,2005,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
404,Dan Burn,eng ENG,DF,Newcastle United,eng Premier League,34.0,1992,26,23,2010,22.3,1,2,3,1,0,0,11,1,0.13,10,3,30.0,0.45,0.13,0.10,0.33,0,0,11,24,18,12,11,1,1,36,0,,,,,,,,,,,,,,
405,Bradley Burrowes,eng ENG,MF,Aston Villa,eng Premier League,18.0,2008,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,3,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
406,Marnon Busch,de GER,"DF,MF",Heidenheim,de Bundesliga,31.0,1994,28,19,1870,20.8,1,5,6,1,0,0,4,0,0.29,12,3,25.0,0.58,0.14,0.08,0.33,0,0,59,23,33,7,4,0,0,18,0,,,,,,,,,,,,,,
407,Aurélio Buta,pt POR,DF,Eintracht Frankfurt,de Bundesliga,29.0,1997,4,1,144,1.6,0,0,0,0,0,0,1,0,0.00,1,0,0.0,0.62,0.00,0.00,,0,0,2,5,0,2,1,0,0,3,0,,,,,,,,,,,,,,
408,Jean Butez,fr FRA,GK,Como,it Serie A,30.0,1995,35,35,3150,35.0,0,1,1,0,0,0,3,0,0.03,0,0,,0.00,0.00,,,0,0,0,2,0,9,3,0,0,0,0,28,0.80,105,81,77.1,17,11,7,17,48.6,5,4,1,0
409,Jun'ai Byfield,eng ENG,DF,Tottenham Hotspur,eng Premier League,17.0,2008,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
410,Sam Byram,eng ENG,"DF,MF",Leeds United,eng Premier League,32.0,1993,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,
411,William Bøving,dk DEN,MF,Mainz 05,de Bundesliga,23.0,2003,9,2,223,2.5,0,1,1,0,0,0,1,0,0.40,1,0,0.0,0.40,0.00,0.00,,0,0,8,2,0,2,1,0,0,2,0,,,,,,,,,,,,,,
412,Rémy Cabella,fr FRA,"MF,FW",Nantes,fr Ligue 1,36.0,1990,11,6,572,6.4,2,0,2,1,1,1,1,0,0.16,9,5,55.6,1.42,0.79,0.11,0.20,1,1,37,7,6,11,1,0,0,7,0,,,,,,,,,,,,,,
413,Jorge Cabello,es ESP,DF,Levante,es La Liga,22.0,2004,5,4,362,4.0,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,0,3,0,3,1,0,0,3,0,,,,,,,,,,,,,,
414,Pape Cabral,fr FRA,MF,Monaco,fr Ligue 1,19.0,2007,4,0,77,0.9,0,0,0,0,0,0,0,0,0.00,3,2,66.7,3.51,2.34,0.00,0.00,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,,,,
415,Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,34.0,1991,33,33,2970,33.0,3,0,3,3,0,0,3,0,0.09,36,10,27.8,1.09,0.30,0.08,0.30,0,0,19,22,21,8,3,0,0,34,0,,,,,,,,,,,,,,
416,Anthony Caci,fr FRA,MF,Mainz 05,de Bundesliga,28.0,1997,8,5,427,4.7,0,0,0,0,0,0,2,0,0.00,5,0,0.0,1.05,0.00,0.00,,0,0,36,9,3,3,2,0,0,6,0,,,,,,,,,,,,,,
417,Noah Cadiou,gp GLP,MF,Lorient,fr Ligue 1,27.0,1998,26,18,1699,18.9,2,1,3,2,0,0,1,0,0.16,16,8,50.0,0.85,0.42,0.13,0.25,0,0,3,16,24,12,1,0,0,25,0,,,,,,,,,,,,,,
418,Mathieu Cafaro,fr FRA,FW,Paris FC,fr Ligue 1,29.0,1997,10,1,152,1.7,0,0,0,0,0,0,0,0,0.00,7,1,14.3,4.14,0.59,0.00,0.00,0,0,7,0,0,4,0,0,0,2,0,,,,,,,,,,,,,,
419,Moisés Caicedo,ec ECU,MF,Chelsea,eng Premier League,24.0,2001,30,29,2531,28.1,3,1,4,3,0,0,10,1,0.14,26,7,26.9,0.92,0.25,0.12,0.43,0,0,8,45,56,46,10,1,0,46,0,,,,,,,,,,,,,,
420,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,35.0,1991,22,5,669,7.4,1,0,1,1,0,0,3,0,0.13,13,1,7.7,1.75,0.13,0.08,1.00,0,0,6,4,2,9,3,0,0,9,0,,,,,,,,,,,,,,
421,Arturo Calabresi,it ITA,DF,Pisa,it Serie A,30.0,1996,23,15,1315,14.6,0,0,0,0,0,0,6,0,0.00,4,1,25.0,0.27,0.07,0.00,0.00,0,0,17,10,18,21,6,0,0,27,0,,,,,,,,,,,,,,
422,Riccardo Calafiori,it ITA,DF,Arsenal,eng Premier League,23.0,2002,23,19,1538,17.1,1,2,3,1,0,0,5,0,0.18,29,7,24.1,1.70,0.41,0.03,0.14,0,0,21,19,13,9,5,0,0,25,0,,,,,,,,,,,,,,
423,Calebe,br BRA,MF,Alavés,es La Liga,26.0,2000,19,13,752,8.4,0,0,0,0,0,0,2,0,0.00,5,1,20.0,0.60,0.12,0.00,0.00,0,0,16,14,9,19,2,0,0,18,0,,,,,,,,,,,,,,
